#Time,Wind X,Wind Y,Sail,Rudder,Yaw,Heel,Longitude,Latitude,Vel X,Vel Y,True Wind X,True Wind Y
4188.987313,1.170891,1.000307,1.162389,0.052360,1.309096,0.256500,-71.756577,42.290203,1.126203,0.092556,-0.921668,2.559088
4189.087313,1.170891,1.000307,1.162389,0.052360,1.309096,0.256500,-71.756577,42.290203,1.126203,0.092556,-0.921668,2.559088
4189.187313,1.625962,1.076452,1.162389,0.052360,1.303796,0.256500,-71.756577,42.290203,1.124422,0.112137,-0.921668,2.559088
4189.291837,1.625962,1.076452,1.162389,0.052360,1.303796,0.256500,-71.756577,42.290207,1.124219,0.114161,-0.921668,2.559088
4189.387313,1.625962,1.076452,1.162389,0.052360,1.300296,0.256500,-71.756577,42.290207,1.124219,0.114161,-0.908978,2.669487
4189.487313,1.625962,1.076452,1.162389,0.052360,1.293296,0.256500,-71.756577,42.290207,1.123812,0.118095,-0.908978,2.669487
4189.587313,1.625962,1.076452,1.162389,0.052360,1.291596,0.256500,-71.756577,42.290207,1.123812,0.118095,-0.908978,2.669487
4189.687313,1.502674,0.990945,1.162389,0.052360,1.282896,0.256500,-71.756577,42.290211,1.124023,0.116072,-0.908978,2.669487
4189.787313,1.502674,0.990945,1.162389,0.052360,1.275896,0.256500,-71.756577,42.290211,1.124023,0.116072,-0.908978,2.669487
4189.887313,1.502674,0.990945,1.162389,0.052360,1.272396,0.254800,-71.756569,42.290215,1.123812,0.118095,-0.704689,2.575328
4189.987313,1.502674,0.990945,1.162389,-0.017453,1.267196,0.254800,-71.756569,42.290215,1.123812,0.118095,-0.704689,2.575328
4191.000000,1.502674,0.990945,1.162389,-0.034907,1.267196,0.254800,-71.756569,42.290215,1.123812,0.118095,-0.704689,2.575328
4191.087313,1.404297,0.940240,1.162389,-0.017453,1.247996,0.211100,-71.756569,42.290226,1.115150,0.182595,-0.709165,2.522198
4191.187313,1.304492,0.993932,1.162389,-0.000000,1.242696,0.211100,-71.756569,42.290226,1.115150,0.182595,-0.709165,2.522198
4191.287313,1.304492,0.993932,1.130973,-0.017453,1.242696,0.211100,-71.756561,42.290230,1.112839,0.196186,-0.709165,2.522198
4191.387313,1.304492,0.993932,1.130973,-0.104720,1.246196,0.211100,-71.756561,42.290230,1.112839,0.196186,-0.736311,2.566466
4191.487313,1.304492,0.993932,1.162389,-0.104720,1.249696,0.211100,-71.756561,42.290230,1.111804,0.201970,-0.736311,2.566466
4191.587313,1.304492,0.993932,1.162389,-0.087266,1.253196,0.211100,-71.756561,42.290230,1.111804,0.201970,-0.736311,2.566466
4191.687313,1.429794,1.093476,1.162389,-0.087266,1.249696,0.211100,-71.756561,42.290234,1.109622,0.213632,-0.736311,2.566466
4191.787313,1.429794,1.093476,1.162389,-0.087266,1.249696,0.211100,-71.756561,42.290234,1.109622,0.213632,-0.736311,2.566466
4191.889554,1.429794,1.093476,1.130973,-0.087266,1.256696,0.207600,-71.756561,42.290234,1.106131,0.231027,-0.834155,2.693805
4191.987313,1.429794,1.093476,1.162389,-0.069813,1.260196,0.207600,-71.756561,42.290234,1.106131,0.231027,-0.834155,2.693805
4193.000000,1.429794,1.093476,1.162389,-0.069813,1.260196,0.207600,-71.756561,42.290234,1.106131,0.231027,-0.834155,2.693805
4193.087313,1.546144,1.015844,1.130973,0.034907,1.314296,0.225100,-71.756554,42.290245,1.110363,0.209747,-0.808991,2.596908
4193.187313,1.423640,0.910687,1.130973,-0.104720,1.314296,0.225100,-71.756554,42.290245,1.110363,0.209747,-0.808991,2.596908
4193.287313,1.423640,0.910687,1.130973,-0.104720,1.315996,0.225100,-71.756554,42.290245,1.064248,0.183781,-0.808991,2.596908
4193.387313,1.423640,0.910687,1.162389,-0.104720,1.317796,0.225100,-71.756554,42.290245,1.064248,0.183781,-0.664610,2.316548
4193.487313,1.423640,0.910687,1.162389,-0.104720,1.315996,0.225100,-71.756554,42.290249,1.115477,0.180587,-0.664610,2.316548
4193.587313,1.423640,0.910687,1.162389,-0.087266,1.321296,0.225100,-71.756554,42.290249,1.115477,0.180587,-0.664610,2.316548
4193.687313,1.224941,0.848304,1.130973,-0.087266,1.324796,0.225100,-71.756554,42.290249,1.116713,0.172775,-0.664610,2.316548
4193.787313,1.224941,0.848304,1.162389,-0.069813,1.340496,0.225100,-71.756554,42.290249,1.116713,0.172775,-0.664610,2.316548
4193.887313,1.224941,0.848304,1.130973,-0.069813,1.349196,0.186700,-71.756554,42.290253,1.065190,0.178245,-0.638790,2.271904
4193.987313,1.224941,0.848304,1.162389,-0.034907,1.356196,0.186700,-71.756554,42.290253,1.065190,0.178245,-0.638790,2.271904
4195.000000,1.224941,0.848304,1.162389,-0.034907,1.356196,0.186700,-71.756554,42.290253,1.065190,0.178245,-0.638790,2.271904
4195.087313,1.299302,0.729324,1.130973,0.401426,1.284596,0.329800,-71.756554,42.290260,1.079833,-0.018991,-0.657564,2.370487
4195.187313,1.332200,0.667341,1.130973,0.401426,1.267196,0.329800,-71.756554,42.290260,1.079833,-0.018991,-0.657564,2.370487
4195.287313,1.332200,0.667341,1.162389,0.401426,1.240996,0.329800,-71.756554,42.290264,1.018685,-0.051779,-0.657564,2.370487
4195.391797,1.332200,0.667341,1.162389,0.401426,1.216596,0.329800,-71.756554,42.290264,1.018685,-0.051779,-0.579165,2.339374
4195.487313,1.332200,0.667341,1.130973,0.401426,1.190396,0.329800,-71.756554,42.290264,1.017867,-0.065933,-0.579165,2.339374
4195.587313,1.332200,0.667341,1.162389,0.401426,1.162396,0.329800,-71.756554,42.290264,1.017867,-0.065933,-0.579165,2.339374
4195.687313,1.239515,0.826863,1.162389,0.401426,1.127496,0.329800,-71.756554,42.290268,1.015622,-0.094404,-0.579165,2.339374
4195.787313,1.239515,0.826863,1.162389,0.401426,1.097896,0.329800,-71.756554,42.290268,1.015622,-0.094404,-0.579165,2.339374
4195.887313,1.239515,0.826863,1.162389,0.401426,1.069896,0.171000,-71.756554,42.290268,1.015460,-0.096130,-0.760833,2.286752
4195.987313,1.239515,0.826863,1.162389,0.401426,1.033296,0.171000,-71.756554,42.290268,1.015460,-0.096130,-0.760833,2.286752
4196.087313,1.239515,0.826863,1.162389,0.401426,0.996596,0.171000,-71.756554,42.290272,0.966145,-0.086395,-0.760833,2.286752
4196.187313,1.059900,0.974789,1.162389,0.401426,0.959996,0.171000,-71.756554,42.290272,0.966145,-0.086395,-0.760833,2.286752
4196.287313,1.059900,0.974789,1.162389,0.401426,0.919896,0.171000,-71.756554,42.290272,0.966299,-0.084656,-0.760833,2.286752
4196.387313,1.059900,0.974789,1.162389,0.401426,0.883196,0.171000,-71.756554,42.290272,0.966299,-0.084656,-0.624552,2.379398
4196.487313,1.059900,0.974789,1.162389,0.401426,0.846596,0.171000,-71.756554,42.290272,0.967382,-0.071217,-0.624552,2.379398
4196.587313,1.059900,0.974789,1.162389,0.401426,0.815096,0.171000,-71.756554,42.290272,0.967382,-0.071217,-0.624552,2.379398
4196.687313,1.099643,1.348475,1.162389,0.401426,0.785496,0.171000,-71.756554,42.290276,0.969516,-0.030633,-0.624552,2.379398
4196.787313,1.099643,1.348475,1.162389,0.401426,0.764496,0.171000,-71.756554,42.290276,0.969516,-0.030633,-0.624552,2.379398
4196.887313,1.099643,1.348475,1.162389,0.401426,0.720896,0.078500,-71.756554,42.290276,0.920000,0.000000,-0.885751,2.571740
4196.987313,1.099643,1.348475,1.162389,0.401426,0.687696,0.078500,-71.756554,42.290276,0.920000,0.000000,-0.885751,2.571740
4197.087313,1.099643,1.348475,1.162389,0.401426,0.687696,0.078500,-71.756554,42.290276,0.920000,0.000000,-0.885751,2.571740
4197.187313,0.561208,1.594097,1.162389,0.401426,0.579496,0.078500,-71.756554,42.290276,0.919932,0.011224,-0.885751,2.571740
4197.287313,0.561208,1.594097,1.162389,0.349066,0.553296,0.078500,-71.756554,42.290279,0.918742,0.048094,-0.885751,2.571740
4197.387313,0.561208,1.594097,1.162389,0.349066,0.553296,0.078500,-71.756554,42.290279,0.918742,0.048094,-1.143002,2.301836
4197.487313,0.561208,1.594097,1.162389,0.349066,0.514896,0.078500,-71.756554,42.290279,0.918742,0.048094,-1.143002,2.301836
4197.587313,0.561208,1.594097,1.162389,0.296706,0.486996,0.078500,-71.756554,42.290279,0.918742,0.048094,-1.143002,2.301836
4197.687313,-0.159908,1.943432,1.162389,0.279253,0.460796,0.078500,-71.756554,42.290279,0.910831,0.129564,-1.143002,2.301836
4197.787313,-0.159908,1.943432,1.162389,0.244346,0.446896,0.078500,-71.756554,42.290279,0.910831,0.129564,-1.143002,2.301836
4197.887313,-0.159908,1.943432,1.162389,0.226893,0.420696,-0.235600,-71.756554,42.290283,0.899229,0.194392,-1.280961,2.041382
4197.987313,-0.159908,1.943432,1.162389,0.226893,0.403196,-0.235600,-71.756554,42.290283,0.899229,0.194392,-1.280961,2.041382
4198.087313,-0.159908,1.943432,1.162389,0.209440,0.380596,-0.235600,-71.756554,42.290283,0.883044,0.258135,-1.280961,2.041382
4198.187313,-0.599298,1.750241,1.162389,0.174533,0.359596,-0.235600,-71.756554,42.290283,0.883044,0.258135,-1.280961,2.041382
4198.287313,-0.599298,1.750241,1.162389,0.157080,0.333396,-0.235600,-71.756546,42.290283,0.866719,0.308542,-1.280961,2.041382
4198.387313,-0.599298,1.750241,1.162389,0.122173,0.310696,-0.235600,-71.756546,42.290283,0.866719,0.308542,-1.099319,1.974613
4198.487313,-0.599298,1.750241,1.162389,0.104720,0.296796,-0.235600,-71.756546,42.290283,0.860049,0.326674,-1.099319,1.974613
4198.587313,-0.599298,1.750241,1.162389,0.069813,0.272296,-0.235600,-71.756546,42.290283,0.860049,0.326674,-1.099319,1.974613
4198.687313,-0.784721,1.839623,1.162389,0.069813,0.272296,-0.235600,-71.756546,42.290287,0.780644,0.384051,-1.099319,1.974613
4198.787313,-0.784721,1.839623,1.162389,0.052360,0.239196,-0.235600,-71.756546,42.290287,0.780644,0.384051,-1.099319,1.974613
4198.887313,-0.784721,1.839623,1.162389,0.052360,0.212996,-0.415300,-71.756546,42.290287,0.648720,0.414803,-1.295015,2.032495
4198.987313,-0.784721,1.839623,1.130973,-0.000000,0.198996,-0.415300,-71.756546,42.290287,0.648720,0.414803,-1.295015,2.032495
4199.087313,-0.784721,1.839623,1.130973,-0.017453,0.176396,-0.415300,-71.756546,42.290291,0.608436,0.471917,-1.295015,2.032495
4199.187313,-1.008624,2.133607,1.099557,-0.017453,0.155396,-0.415300,-71.756546,42.290291,0.608436,0.471917,-1.295015,2.032495
4199.287313,-1.008624,2.133607,1.099557,-0.034907,0.137996,-0.415300,-71.756546,42.290291,0.565025,0.523113,-1.295015,2.032495
4199.387313,-1.008624,2.133607,1.068141,-0.052360,0.120496,-0.415300,-71.756546,42.290291,0.565025,0.523113,-1.398453,2.096361
4199.487313,-1.008624,2.133607,1.068141,-0.069813,0.106496,-0.415300,-71.756538,42.290291,0.466736,0.466645,-1.398453,2.096361
4199.587313,-1.008624,2.133607,1.068141,-0.104720,0.087296,-0.415300,-71.756538,42.290291,0.466736,0.466645,-1.398453,2.096361
4199.687313,-1.301877,2.157664,1.036726,-0.122173,0.066396,-0.415300,-71.756538,42.290295,0.408191,0.518633,-1.398453,2.096361
4199.787313,-1.301877,2.157664,1.036726,-0.139626,0.040196,-0.415300,-71.756538,42.290295,0.408191,0.518633,-1.398453,2.096361
4199.887313,-1.301877,2.157664,1.005310,-0.157080,0.020996,-0.399600,-71.756538,42.290295,0.369114,0.547134,-1.488849,2.094810
4199.987313,-1.301877,2.157664,1.005310,-0.174533,0.007096,-0.399600,-71.756538,42.290295,0.369114,0.547134,-1.488849,2.094810
4200.087313,-1.301877,2.157664,1.005310,-0.174533,0.007096,-0.399600,-71.756538,42.290295,0.369114,0.547134,-1.488849,2.094810
4200.187313,-1.529122,2.309694,0.973894,-0.174533,-0.008604,-0.399600,-71.756538,42.290298,0.316998,0.578889,-1.488849,2.094810
4200.287313,-1.529122,2.309694,0.942478,-0.174533,-0.020904,-0.399600,-71.756531,42.290298,0.270565,0.601992,-1.488849,2.094810
4200.387313,-1.529122,2.309694,0.942478,-0.191986,-0.027804,-0.399600,-71.756531,42.290298,0.270565,0.601992,-1.415584,2.204659
4200.491811,-1.529122,2.309694,0.911062,-0.209440,-0.040104,-0.399600,-71.756531,42.290298,0.254763,0.608848,-1.415584,2.204659
4200.587313,-1.529122,2.309694,0.911062,-0.209440,-0.047004,-0.399600,-71.756531,42.290298,0.254763,0.608848,-1.415584,2.204659
4200.687313,-1.697413,2.388240,0.911062,-0.226893,-0.059304,-0.399600,-71.756531,42.290298,0.231590,0.734347,-1.415584,2.204659
4200.787313,-1.697413,2.388240,0.911062,-0.226893,-0.069704,-0.399600,-71.756531,42.290298,0.231590,0.734347,-1.415584,2.204659
4200.887313,-1.697413,2.388240,0.911062,-0.244346,-0.078504,-0.361200,-71.756523,42.290298,0.190274,0.746120,-1.433674,2.132951
4200.987313,-1.697413,2.388240,0.879646,-0.261799,-0.085404,-0.361200,-71.756523,42.290298,0.190274,0.746120,-1.433674,2.132951
4201.087313,-1.697413,2.388240,0.879646,-0.261799,-0.085404,-0.361200,-71.756523,42.290298,0.190274,0.746120,-1.433674,2.132951
4201.187313,-1.789109,2.256876,0.879646,-0.261799,-0.085404,-0.361200,-71.756523,42.290298,0.137698,0.757588,-1.433674,2.132951
4201.287313,-1.789109,2.256876,0.879646,-0.261799,-0.083704,-0.361200,-71.756523,42.290298,0.089882,0.764736,-1.433674,2.132951
4201.387313,-1.789109,2.256876,0.848230,-0.261799,-0.083704,-0.361200,-71.756523,42.290298,0.089882,0.764736,-1.168491,2.107779
4201.487313,-1.789109,2.256876,0.848230,-0.261799,-0.075004,-0.361200,-71.756523,42.290298,0.089882,0.764736,-1.168491,2.107779
4201.587313,-1.789109,2.256876,0.848230,-0.244346,-0.066204,-0.361200,-71.756523,42.290298,0.089882,0.764736,-1.168491,2.107779
4201.687313,-1.717867,2.435022,0.848230,-0.244346,-0.057504,-0.361200,-71.756516,42.290298,0.057268,0.817998,-1.168491,2.107779
4201.787313,-1.717867,2.435022,0.848230,-0.226893,-0.055804,-0.361200,-71.756516,42.290298,0.057268,0.817998,-1.168491,2.107779
4201.887313,-1.717867,2.435022,0.848230,-0.226893,-0.050504,-0.342000,-71.756516,42.290298,0.054405,0.818193,-1.309413,2.153099
4201.987313,-1.717867,2.435022,0.848230,-0.226893,-0.050504,-0.342000,-71.756516,42.290298,0.054405,0.818193,-1.309413,2.153099
4202.087313,-1.717867,2.435022,0.848230,-0.226893,-0.050504,-0.342000,-71.756516,42.290298,0.054405,0.818193,-1.309413,2.153099
4202.187313,-1.782935,2.633162,0.848230,-0.209440,-0.038304,-0.342000,-71.756516,42.290298,0.038687,0.819087,-1.309413,2.153099
4202.287313,-1.782935,2.633162,0.848230,-0.209440,-0.026104,-0.342000,-71.756508,42.290298,0.034961,0.869297,-1.309413,2.153099
4202.387313,-1.782935,2.633162,0.848230,-0.209440,-0.017404,-0.342000,-71.756508,42.290298,0.034961,0.869297,-1.565897,2.100563
4202.487313,-1.782935,2.633162,0.848230,-0.191986,-0.003404,-0.342000,-71.756508,42.290298,0.030441,0.869467,-1.565897,2.100563
4202.587313,-1.782935,2.633162,0.848230,-0.191986,0.003596,-0.342000,-71.756508,42.290298,0.030441,0.869467,-1.565897,2.100563
4202.687313,-1.869357,2.572529,0.848230,-0.174533,0.013996,-0.342000,-71.756508,42.290298,0.038625,0.919189,-1.565897,2.100563
4202.787313,-1.869357,2.572529,0.848230,-0.174533,0.019296,-0.342000,-71.756508,42.290298,0.038625,0.919189,-1.565897,2.100563
4202.887313,-1.869357,2.572529,0.848230,-0.157080,0.026296,-0.375200,-71.756500,42.290298,0.036971,0.919257,-1.525278,2.068436
4202.987313,-1.869357,2.572529,0.848230,-0.157080,0.034996,-0.375200,-71.756500,42.290298,0.036971,0.919257,-1.525278,2.068436
4203.087313,-1.869357,2.572529,0.848230,-0.157080,0.034996,-0.375200,-71.756500,42.290298,0.036971,0.919257,-1.525278,2.068436
4203.187313,-1.902877,2.357956,0.848230,-0.157080,0.043696,-0.375200,-71.756500,42.290298,0.038980,0.969217,-1.525278,2.068436
4203.287313,-1.902877,2.357956,0.848230,-0.139626,0.048896,-0.375200,-71.756493,42.290298,0.059323,0.968184,-1.525278,2.068436
4203.387313,-1.902877,2.357956,0.816814,-0.139626,0.057696,-0.375200,-71.756493,42.290298,0.059323,0.968184,-1.338201,1.821213
4203.487313,-1.902877,2.357956,0.848230,-0.139626,0.057696,-0.375200,-71.756493,42.290298,0.062381,1.018091,-1.338201,1.821213
4203.587313,-1.902877,2.357956,0.816814,-0.139626,0.061196,-0.375200,-71.756493,42.290298,0.062381,1.018091,-1.338201,1.821213
4203.687313,-1.539699,2.492835,0.816814,-0.122173,0.062896,-0.375200,-71.756493,42.290298,0.076526,1.017125,-1.338201,1.821213
4203.787313,-1.539699,2.492835,0.816814,-0.122173,0.059396,-0.375200,-71.756493,42.290298,0.076526,1.017125,-1.338201,1.821213
4203.887313,-1.539699,2.492835,0.816814,-0.139626,0.061196,-0.411800,-71.756485,42.290298,0.096040,1.015469,-1.373917,1.918841
4203.987313,-1.539699,2.492835,0.816814,-0.139626,0.059396,-0.411800,-71.756485,42.290298,0.096040,1.015469,-1.373917,1.918841
4204.098451,-1.539699,2.492835,0.816814,-0.139626,0.057696,-0.411800,-71.756485,42.290302,0.112973,1.074075,-1.373917,1.918841
4204.187313,-1.766694,2.522933,0.816814,-0.122173,0.061196,-0.411800,-71.756485,42.290302,0.112973,1.074075,-1.373917,1.918841
4204.287313,-1.766694,2.522933,0.816814,-0.122173,0.059396,-0.411800,-71.756485,42.290302,0.126067,1.122946,-1.373917,1.918841
4204.387313,-1.766694,2.522933,0.816814,-0.122173,0.054196,-0.411800,-71.756485,42.290302,0.126067,1.122946,-1.271712,1.928432
4204.487313,-1.766694,2.522933,0.816814,-0.122173,0.054196,-0.411800,-71.756485,42.290302,0.133924,1.122036,-1.271712,1.928432
4204.587313,-1.766694,2.522933,0.816814,-0.139626,0.043696,-0.411800,-71.756485,42.290302,0.133924,1.122036,-1.271712,1.928432
